time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V,prior_radial_same_time_available,prior_radial_R320H0250_minus_R160H0250_V_V,prior_radial_R320H0250_minus_R160H0250_delta_Eeq_V,prior_radial_R320H0250_minus_R160H0250_delta_etaMid_V,prior_radial_R320H0250_minus_R160H0250_delta_phiL_V,time_cap_abs_difference_divided_by_prior_radial_same_time_abs_difference
0,2.2306115890131686,2.2306115890131673,-1.3E-15,0E-16,-1.333E-15,-3E-16,3.33E-16,True,1.75284346E-8,1.78299371E-8,-3.0522917E-10,3.7271E-12,7.416520811276552898796792727E-8
0.0001,2.230780484996104,2.2307804849961026,-1.4E-15,0E-16,-8.84E-16,-4E-16,-1.16E-16,True,0.0000821868036086,0.0000835334374097,-0.000001365211869780,1.85780689E-8,1.703436486795678792082347906E-11
0.0002,2.230938440905453,2.230938440905455,2E-15,0E-15,-6.64E-16,2.8E-15,-1.36E-16,True,0.0001549046047037,0.0001573718613261,-0.000002503424634262,3.61680118E-8,1.291117203278482439766166712E-11
0.0005,2.231356589486689,2.2313565894866882,-8E-16,0E-16,-1.778E-15,1.1E-15,-1.22E-16,True,0.000325991650446,0.0003309926158271,-0.000005080090547118,7.91251662E-8,2.454050583521060860760104917E-12
0.001,2.2319132688961174,2.231913268896119,1.6E-15,0E-16,4.45E-16,1.5E-15,-3.45E-16,True,0.0004974054570624,0.0005049613142098,-0.000007677401693054,1.215445456E-7,3.216691689410392694145274518E-12
0.002,2.2327181137621883,2.232716843842165,-0.0000012699200233,-0.0000012885552024,1.8959289025E-8,-3.241101E-10,1.75E-16,True,0.0006170341087208,0.0006265730874137,-0.000009686004647454,1.470259547E-7,0.002058103442502920824992537802
0.005,2.234201331269507,2.234200647145173,-6.84124334E-7,-6.944419061E-7,1.0486011165E-8,-1.684395E-10,4.35E-16,True,0.000523896321485,0.0005325782634206,-0.000008794873219032,1.129312838E-7,0.001305839163101639734354432943
0.01,2.2357938476082118,2.2357935737159824,-2.738922294E-7,-2.780826661E-7,4.256663683E-9,-6.62269E-11,-8.3E-17,True,0.0003444223395708,0.0003506662051858,-0.000006307348396012,6.34827805E-8,0.0007952220223035163513861186182
0.02,2.238014011192067,2.2380139079067356,-1.032853314E-7,-1.048716213E-7,1.611117685E-9,-2.48280E-11,2.15E-16,True,0.000217449047608,0.0002217794936564,-0.000004362699484340,3.22534361E-8,0.0004749863590398181588893813795
0.03,2.2397095032658223,2.2397094459240114,-5.73418109E-8,-5.82250974E-8,8.97022905E-10,-1.37364E-11,-5E-18,True,0.0001717526920993,0.0001753443083154,-0.000003613596842203,2.19806262E-8,0.0003338626614763478508703587505
0.04,2.241136851216645,2.241136813615726,-3.7600919E-8,-3.81819162E-8,5.89976064E-10,-8.9796E-12,7.36E-16,True,0.000146659234656,0.0001498297653167,-0.000003187164740788,1.66340802E-8,0.0002563828939118338883035279543
0.05,2.2423937500163476,2.242393722959862,-2.70564856E-8,-2.74759069E-8,4.25863569E-10,-6.4424E-12,1.31E-16,True,0.0001301478382476,0.0001330330367044,-0.000002898473786319,1.32753294E-8,0.0002078903957553742691520494636
0.06,2.243529935471593,2.2435299148125853,-2.06590077E-8,-2.09803227E-8,3.26218827E-10,-4.9043E-12,4.73E-16,True,0.000118210629905,0.0001208841981990,-0.000002684518586314,1.09502925E-8,0.0001747643821592238896377277535
0.07,2.244574826912794,2.2445748104753807,-1.64374133E-8,-1.66939292E-8,2.60412580E-10,-3.8969E-12,2.20E-16,True,0.0001090585055043,0.0001115660735384,-0.000002516808127463,9.2400931E-9,0.0001507210576927619776700600715
0.08,2.2455475386655004,2.245547525185136,-1.34803644E-8,-1.36914456E-8,2.14270826E-10,-3.1892E-12,-4.26E-16,True,0.0001017520089954,0.0001041242899988,-0.000002380209135346,7.9281319E-9,0.0001324825380166146859555021420
0.09,2.246461320915672,2.246461309601098,-1.1314574E-8,-1.14923469E-8,1.80444328E-10,-2.6711E-12,-3.28E-16,True,0.0000957433773775,0.0000980022887988,-0.000002265801462452,6.8900408E-9,0.0001181760484110409195701552585
0.1,2.2473258064905273,2.2473257968181146,-9.6724127E-9,-9.8248948E-9,1.54762872E-10,-2.2807E-12,-7.2E-17,True,0.0000906885971417,0.0000928504725723,-0.000002167924264109,6.0488334E-9,0.0001066552246352091505968590887
0.11,2.2481483534919646,2.24814834114506,-1.23469046E-8,-1.25418575E-8,1.97864170E-10,-2.9115E-12,2.30E-16,True,0.0000863566718960,0.0000884340575080,-0.000002082739221977,5.3536100E-9,0.0001429756882579897425740414502
0.12,2.248934693714275,2.248934682292494,-1.1421781E-8,-1.16025962E-8,1.83504101E-10,-2.6892E-12,2.99E-16,True,0.0000825874056834,0.0000845901938907,-0.000002007557789566,4.7695824E-9,0.0001382993073276276615338532081
0.13,2.2496896214560946,2.249689611632164,-9.8239306E-9,-9.9799176E-9,1.58296045E-10,-2.3087E-12,-3.45E-16,True,0.0000792607328410,0.0000811968096961,-0.000001940347948760,4.2710937E-9,0.0001239444835781063605470177941
0.14,2.2504156268343842,2.250415618618368,-8.2160162E-9,-8.3469204E-9,1.32834852E-10,-1.9313E-12,6.48E-16,True,0.0000763187896762,0.0000781950453796,-0.000001880101676342,3.8459733E-9,0.0001076539111123006066810406250
0.15,2.2511166140193994,2.2511166071207307,-6.8986687E-9,-7.0089778E-9,1.11928469E-10,-1.6198E-12,4.31E-16,True,0.0000736767917617,0.0000754986904270,-0.000001825375140602,3.4764753E-9,0.00009363421689577681240876522416
0.16,2.251794773791137,2.2517947679489487,-5.8421883E-9,-5.9359472E-9,9.5127021E-11,-1.3679E-12,-2.21E-16,True,0.0000712917356786,0.0000730639969265,-0.000001775415049868,3.1538022E-9,0.00008194762330290240273504957488
0.17,2.2524521479890054,2.2524521429936475,-4.9953579E-9,-5.0758202E-9,8.1629594E-11,-1.1675E-12,2.06E-16,True,0.0000691258473697,0.0000708525353799,-0.000001729558316348,2.8703063E-9,0.00007226468954924695929792222506
0.18,2.2530905433989807,2.253090539087742,-4.3112387E-9,-4.3809316E-9,7.0700556E-11,-1.0078E-12,1.44E-16,True,0.0000671476932207,0.0000688323237146,-0.000001687250192006,2.6196984E-9,0.00006420531358880620501661122673
0.19,2.253711535953452,2.253711532200819,-3.752633E-9,-3.8135109E-9,6.1753939E-11,-8.755E-13,-5.39E-16,True,0.0000653315007077,0.0000669771364104,-0.000001648032599498,2.3968965E-9,0.00005743987141501118143003890775
0.2,2.2543164991501183,2.25431649585868,-3.2914383E-9,-3.3450208E-9,5.4348077E-11,-7.654E-13,-1.77E-16,True,0.0000636561259353,0.0000652654549472,-0.000001611526793120,2.1977811E-9,0.00005170654436849351185212763681
0.21,2.254906635091854,2.2549066321851803,-2.9066737E-9,-2.9541536E-9,4.8158145E-11,-6.781E-13,-1.45E-16,True,0.0000621041056862,0.0000636795041652,-0.000001577417491960,2.0190128E-9,0.00004680324541966449710572629758
0.22,2.255483001963087,2.255482999380483,-2.582604E-9,-2.6249315E-9,4.2930102E-11,-6.022E-13,-4.02E-16,True,0.0000606608901386,0.0000622044722845,-0.000001545439969996,1.8578242E-9,0.00004257444943684771700601337077
0.23,2.2560465368588063,2.2560465345514924,-2.3073139E-9,-2.3452558E-9,3.8480547E-11,-5.384E-13,-2.47E-16,True,0.0000593142473633,0.0000608279054226,-0.000001515370008805,1.7119495E-9,0.00003889982597044000617489328924
0.24,2.25659807439702,2.256598072325362,-2.071658E-9,-2.1058355E-9,3.4662271E-11,-4.847E-13,-7.1E-17,True,0.00005805380587,0.0000595392424894,-0.000001487016097591,1.5794785E-9,0.00003568513672710911967639443929
0.25,2.257138361864269,2.2571383599957424,-1.8685266E-9,-1.8994548E-9,3.1361582E-11,-4.336E-13,2.18E-16,True,0.0000568707023358,0.0000583294569687,-0.000001460213431058,1.4587985E-9,0.00003285569763086548035850466020
0.26,2.257668071599598,2.257668069907268,-1.692330E-9,-1.7204313E-9,2.8493428E-11,-3.921E-13,-2.8E-17,True,0.0000557573080177,0.0000571907786571,-0.000001434819193905,1.3485551E-9,0.00003035171639675958925020833628
0.27,2.2581878111943094,2.258187809655693,-1.5386164E-9,-1.5642471E-9,2.5986984E-11,-3.562E-13,-8.4E-17,True,0.0000547070140348,0.0000561164753036,-0.000001410708847290,1.2475787E-9,0.00002812466421620565299498969686
0.28,2.2586981319590236,2.2586981305552127,-1.4038109E-9,-1.4272703E-9,2.3785644E-11,-3.267E-13,4.56E-16,True,0.0000537140610884,0.0000551006793873,-0.000001387773167495,1.1548688E-9,0.00002613488668618215288063022614
0.29,2.2591995360064376,2.259199534721425,-1.2850126E-9,-1.3065551E-9,2.1839866E-11,-2.973E-13,-6.6E-17,True,0.0000527734030440,0.0000541382493452,-0.000001365915852652,1.0695513E-9,0.00002434962549086736889796240293
0.3,2.259692482218929,2.2596924810390773,-1.1798517E-9,-1.1996922E-9,2.0113245E-11,-2.731E-13,3.55E-16,True,0.000051880596592,0.0000532246573086,-0.000001345051600101,9.908839E-10,0.00002274167564568703138555458036
0.31,2.260177391310216,2.2601773902238405,-1.0863755E-9,-1.1046982E-9,1.8577585E-11,-2.548E-13,-8.5E-17,True,0.0000510317112364,0.0000523558975340,-0.000001325104506567,9.182086E-10,0.00002128824359754387254506572453
0.32,2.260654650145058,2.2606546491420993,-1.0029587E-9,-1.0199257E-9,1.7199575E-11,-2.327E-13,1.25E-16,True,0.000050223255297,0.0000515284111045,-0.000001306006748745,8.509413E-10,0.00001997000580844288716238050506
0.33,2.261124615446763,2.261124614518514,-9.28249E-10,-9.439993E-10,1.5965448E-11,-2.151E-13,-4.8E-17,True,0.000049452114648,0.0000507390235663,-0.000001287697500185,7.885819E-10,0.00001877066343082138201064052504
0.34,2.26158761699595,2.261587616134836,-8.61114E-10,-8.757664E-10,1.4853448E-11,-2.015E-13,4.52E-16,True,0.0000487155016114,0.0000499848929447,-0.000001270122011565,7.306785E-10,0.00001767638578104036605252033014
0.35,2.2620439604039193,2.2620439596033344,-8.005849E-10,-8.142497E-10,1.3849592E-11,-1.849E-13,1.08E-16,True,0.0000480109121339,0.0000492634661297,-0.000001253230835780,6.768403E-10,0.00001667506123956173338308349360
0.36,2.2624939295281132,2.2624939287822596,-7.458536E-10,-7.586218E-10,1.2938537E-11,-1.708E-13,4.63E-16,True,0.0000473360896122,0.0000485724420893,-0.000001236979182634,6.267059E-10,0.00001575655289886408476448925274
0.37,2.2629377885848276,2.262937787888605,-6.962226E-10,-7.081772E-10,1.2115423E-11,-1.608E-13,-2.3E-17,True,0.0000466889942816,0.0000479097406690,-0.000001221326356274,5.799689E-10,0.00001491192112215574856894413281
0.38,2.2633757840044417,2.263375783353343,-6.510987E-10,-6.623095E-10,1.1362686E-11,-1.517E-13,-1.86E-16,True,0.0000460677770539,0.0000472734759977,-0.000001206235274556,5.363304E-10,0.00001413349507266661935051194715
0.39,2.263808146066708,2.2638081454567422,-6.099658E-10,-6.204982E-10,1.0675686E-11,-1.432E-13,-8.6E-17,True,0.0000454707572016,0.0000466619337135,-0.000001191672071911,4.955602E-10,0.00001341446321853942777206131319
0.4,2.264235090347185,2.2642350897748025,-5.723825E-10,-5.822926E-10,1.0044190E-11,-1.341E-13,1.0E-17,True,0.000044896403068,0.0000460735513879,-0.000001177605735146,4.574151E-10,0.00001274896118366254507094804310
0.41,2.264656819000959,2.264656818462995,-5.37964E-10,-5.473026E-10,9.465542E-12,-1.267E-13,-2.42E-16,True,0.000044343315502,0.0000455069016050,-0.000001164007796375,4.216936E-10,0.00001213179470027982933751176863
0.42,2.265073521905455,2.2650735213990822,-5.063728E-10,-5.151888E-10,8.931079E-12,-1.152E-13,1.21E-16,True,0.0000438102134366,0.0000449606773058,-0.000001150852075639,3.882062E-10,0.00001155832761994638467362412622
0.43,2.2654853776809194,2.265485377203598,-4.773214E-10,-4.856538E-10,8.444133E-12,-1.116E-13,-1.33E-16,True,0.0000432959213748,0.0000444336790247,-0.000001138114440023,3.567899E-10,0.00001102462737466584115337892306
0.44,2.265892554604175,2.2658925541536257,-4.505493E-10,-4.584377E-10,7.992718E-12,-1.047E-13,3.82E-16,True,0.000042799358449,0.0000439248037511,-0.000001125772595813,3.272933E-10,0.00001052701059846206668077899814
0.45,2.266295211429043,2.266295211003208,-4.25835E-10,-4.333105E-10,7.576825E-12,-1.011E-13,-2.25E-16,True,0.0000423195288265,0.0000434330351703,-0.000001113805917494,2.995735E-10,0.00001006237573546298660608505771
0.46,2.266693498124847,2.266693497721871,-4.02976E-10,-4.100697E-10,7.188030E-12,-9.47E-14,3.70E-16,True,0.000041855513304,0.0000429574350780,-0.000001102195281935,2.735079E-10,0.000009627787791614273401672579808
0.47,2.2670875565427733,2.2670875561609725,-3.818008E-10,-3.885388E-10,6.826985E-12,-8.87E-14,-2.85E-16,True,0.0000414064618733,0.0000424971358315,-0.000001090922929551,2.489714E-10,0.000009220802327141006513639477946
0.48,2.267477521018557,2.2674775206564077,-3.621493E-10,-3.685585E-10,6.492361E-12,-8.34E-14,2.39E-16,True,0.0000409715871686,0.0000420513336530,-0.000001079972349330,2.258653E-10,0.000008839035171123312117458608010
0.49,2.2678635189187757,2.267863518574886,-3.438897E-10,-3.499875E-10,6.180390E-12,-8.25E-14,-9.0E-17,True,0.0000405501586517,0.0000416192827108,-0.000001069328154245,2.040950E-10,0.000008480600605136793440665550914
0.5,2.2682456711370595,2.2682456708101726,-3.268869E-10,-3.327021E-10,5.889065E-12,-7.35E-14,-3.65E-16,True,0.0000401414974265,0.0000412002898490,-0.000001058975987121,1.835645E-10,0.000008143365867168692230201398912
0.51,2.2686240925457706,2.2686240922347265,-3.110441E-10,-3.165879E-10,5.617948E-12,-7.38E-14,-3.48E-16,True,0.0000397449716566,0.0000407937098942,-0.000001048902438680,1.642012E-10,0.000007825998787656662173049154248
0.52,2.268998892407884,2.2689988921116337,-2.962503E-10,-3.015462E-10,5.364822E-12,-6.86E-14,-3.22E-16,True,0.0000393599924334,0.0000403989414703,-0.00000103909496074,1.459236E-10,0.000007526685898156034476307176535
0.53,2.2693701747533375,2.269370174470911,-2.824265E-10,-2.874870E-10,5.126341E-12,-6.57E-14,-1.41E-16,True,0.0000389860101122,0.0000400154232385,-0.000001029541786715,1.286604E-10,0.000007244303769151783347441041246
0.54,2.2697380387234865,2.269738038454,-2.694865E-10,-2.743293E-10,4.904076E-12,-6.14E-14,1.24E-16,True,0.0000386225109921,0.0000396426305377,-0.000001020231894302,1.123488E-10,0.000006977446392729924434549747504
0.55,2.270102578886943,2.2701025786295763,-2.573667E-10,-2.619997E-10,4.694024E-12,-6.12E-14,1.76E-16,True,0.000038269014362,0.0000392800723545,-0.000001011154929340,9.69367E-11,0.000006725198030068877999184043892
0.56,2.270463885529615,2.2704638852836223,-2.459927E-10,-2.504321E-10,4.499512E-12,-6.01E-14,-1.2E-17,True,0.000037925069817,0.0000389272885968,-0.00000100230114319,8.23635E-11,0.000006486282060573378429754467234
0.57,2.2708220449215175,2.270822044686208,-2.353095E-10,-2.395669E-10,4.313662E-12,-5.62E-14,-6.2E-17,True,0.0000375902548408,0.0000385838476362,-9.93661368965E-7,6.85738E-11,0.000006259853810424236989601122119
0.58,2.2711771395625746,2.2711771393373095,-2.252651E-10,-2.293517E-10,4.142244E-12,-5.58E-14,1.56E-16,True,0.0000372641726346,0.0000382493440794,-9.85226972671E-7,5.55282E-11,0.000006045085240691485275915521319
0.59,2.2715292484093967,2.2715292481935863,-2.158104E-10,-2.197351E-10,3.975707E-12,-5.12E-14,1.93E-16,True,0.0000369464501384,0.0000379233967512,-9.76989791289E-7,4.31784E-11,0.000005841167397451783112928934097
0.6,2.2718784470847937,2.271878446877892,-2.069017E-10,-2.106746E-10,3.820054E-12,-4.68E-14,-3.54E-16,True,0.0000366367362163,0.0000376056468669,-9.68942134525E-7,3.14836E-11,0.000005647383510869280129075218602
0.61,2.2722248080716456,2.2722248078731444,-1.985012E-10,-2.021289E-10,3.671732E-12,-4.44E-14,3.68E-16,True,0.0000363347000554,0.0000372957563681,-9.61076720426E-7,2.04078E-11,0.000005463130277595317495980960644
0.62,2.2725684008924816,2.272568400701909,-1.905726E-10,-1.940604E-10,3.535619E-12,-4.73E-14,-5.19E-16,True,0.0000360400296586,0.0000369934064058,-9.53386671391E-7,9.9236E-12,0.000005287803639598972657877622893
0.63,2.2729092922760805,2.2729092920930043,-1.830762E-10,-1.864366E-10,3.405499E-12,-4.53E-14,2.01E-16,True,0.0000357524304859,0.0000366982959592,-9.45865457738E-7,-1.55E-14,0.000005120664455866891869847091245
0.64,2.2732475463121897,2.273247546136203,-1.759867E-10,-1.792256E-10,3.280039E-12,-4.11E-14,-3.9E-17,True,0.0000354716242383,0.0000364101405764,-9.38506901972E-7,-9.4360E-12,0.000004961337513549232212238660509
0.65,2.2735832245954124,2.2735832244261327,-1.692797E-10,-1.723984E-10,3.161250E-12,-4.24E-14,-1.50E-16,True,0.0000351973477094,0.0000361286712141,-9.31305146776E-7,-1.83582E-11,0.000004809444774010378603735032033
0.66,2.273916386359128,2.273916386196209,-1.62919E-10,-1.659309E-10,3.048453E-12,-3.69E-14,3.47E-16,True,0.0000349293517496,0.0000358536331888,-9.24254614843E-7,-2.68243E-11,0.000004664243446827371978889672603
0.67,2.274247088600352,2.27424708844346,-1.56892E-10,-1.597982E-10,2.944093E-12,-3.76E-14,-2.93E-16,True,0.0000346674003226,0.0000355847851947,-9.17350021725E-7,-3.48507E-11,0.000004525634992529873927951408841
0.68,2.2745753861961915,2.274575386045023,-1.511685E-10,-1.539781E-10,2.843509E-12,-3.44E-14,4.91E-16,True,0.0000344112696302,0.0000353218984234,-9.10586340332E-7,-4.24525E-11,0.000004392993970421003649725428607
0.69,2.274901332012634,2.2749013318668974,-1.457366E-10,-1.484501E-10,2.746917E-12,-3.33E-14,-1.17E-16,True,0.0000341607472957,0.0000350647557381,-9.03958777166E-7,-4.96651E-11,0.000004266200582161873914956657223
0.7,2.2752249770062574,2.275224976865683,-1.405744E-10,-1.431965E-10,2.656765E-12,-3.41E-14,-5.65E-16,True,0.0000339156316409,0.0000348131509195,-8.97462778093E-7,-5.65003E-11,0.000004144826240843959596184611597
