case,contact_mode,source,n_contact_rows,type_hist,type_map,deck,ionic_n_edges,ionic_n_deleted,ionic_deleted_pct,ionic_AM_AM_n,ionic_AM_AM_deleted,ionic_AM_SE_n,ionic_AM_SE_deleted,ionic_SE_SE_n,ionic_SE_SE_deleted,ionic_UNKNOWN_n,ionic_UNKNOWN_deleted,electronic_n_edges,electronic_n_deleted,electronic_deleted_pct,electronic_AM_AM_n,electronic_AM_AM_deleted,electronic_AM_SE_n,electronic_AM_SE_deleted,electronic_SE_SE_n,electronic_SE_SE_deleted,electronic_UNKNOWN_n,electronic_UNKNOWN_deleted,thermal_n_edges,thermal_n_deleted,thermal_deleted_pct,thermal_AM_AM_n,thermal_AM_AM_deleted,thermal_AM_SE_n,thermal_AM_SE_deleted,thermal_SE_SE_n,thermal_SE_SE_deleted,thermal_UNKNOWN_n,thermal_UNKNOWN_deleted,l1_n_ladder,l1_n_cap_conflict,l1_n_vol_neg,l1_n_exact_avail,l1_n_A_final_changed,l1_n_a_eff_changed,l1_n_rc_branch_changed,l1_n_rc0,l1_n_rc0_floor_only,l1_n_rc0_clamp_zero
lhs00_100,physics,raw,163411,1:796;2:30315,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_100/input_lhs00_100.liggghts,120952,40886,33.8035,0,0,0,0,120952,40886,0,0,1608,0,0.0,1608,0,0,0,0,0,0,0,163411,69181,42.3356,1608,0,40851,28295,120952,40886,0,0,163364,3285,0,163364,0,0,0,69181,286,68895
lhs00_101,physics,raw,145945,1:12434;2:17684,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_101/input_lhs00_101.liggghts,30951,9127,29.4885,0,0,0,0,30951,9127,0,0,35719,0,0.0,35719,0,0,0,0,0,0,0,145945,46040,31.5461,35719,0,79275,36913,30951,9127,0,0,145811,8115,0,145811,0,0,0,46040,188,45852
lhs00_102,physics,raw,196862,1:3684;2:42129,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_102/input_lhs00_102.liggghts,92053,13516,14.6828,0,0,0,0,92053,13516,0,0,10767,0,0.0,10767,0,0,0,0,0,0,0,196862,47707,24.2337,10767,0,94042,34191,92053,13516,0,0,196731,7358,0,196731,0,0,0,47707,271,47436
lhs00_103,physics,raw,401102,1:1555;2:79576,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_103/input_lhs00_103.liggghts,297204,70577,23.747,0,0,0,0,297204,70577,0,0,3468,0,0.0,3468,0,0,0,0,0,0,0,401102,129985,32.407,3468,0,100430,59408,297204,70577,0,0,401014,9548,0,401014,0,0,0,129985,754,129231
lhs00_104,physics,raw,243390,1:12434;2:42129,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_104/input_lhs00_104.liggghts,69486,14412,20.7409,0,0,0,0,69486,14412,0,0,37006,0,0.0,37006,0,0,0,0,0,0,0,243390,70786,29.0834,37006,0,136898,56374,69486,14412,0,0,243167,11481,0,243167,0,0,0,70786,366,70420
lhs00_105,physics,raw,19809,1:1555;2:3315,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_105/input_lhs00_105.liggghts,3547,609,17.1694,0,0,0,0,3547,609,0,0,4842,0,0.0,4842,0,0,0,0,0,0,0,19809,4728,23.8679,4842,0,11420,4119,3547,609,0,0,19769,1114,0,19769,0,0,0,4728,20,4708
lhs00_106,physics,raw,179064,1:3684;2:30315,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_106/input_lhs00_106.liggghts,98040,34486,35.1754,0,0,0,0,98040,34486,0,0,8328,0,0.0,8328,0,0,0,0,0,0,0,179064,79197,44.2283,8328,0,72696,44711,98040,34486,0,0,178999,5238,0,178999,0,0,0,79197,331,78866
lhs00_107,physics,raw,62042,1:12434;2:3722,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_107/input_lhs00_107.liggghts,1542,272,17.6394,0,0,0,0,1542,272,0,0,41239,0,0.0,41239,0,0,0,0,0,0,0,62042,6708,10.812,41239,0,19261,6436,1542,272,0,0,61892,6024,0,61892,0,0,0,6708,48,6660
lhs00_108,physics,raw,29597,1:3683;2:3315,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_108/input_lhs00_108.liggghts,2962,687,23.1938,0,0,0,0,2962,687,0,0,11764,0,0.0,11764,0,0,0,0,0,0,0,29597,6610,22.3333,11764,0,14871,5923,2962,687,0,0,29548,2090,0,29548,0,0,0,6610,34,6576
lhs00_109,physics,raw,87479,1:3684;2:12789,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_109/input_lhs00_109.liggghts,35943,12984,36.1239,0,0,0,0,35943,12984,0,0,8825,0,0.0,8825,0,0,0,0,0,0,0,87479,37075,42.3816,8825,0,42711,24091,35943,12984,0,0,87420,3312,0,87420,0,0,0,37075,142,36933
lhs00_110,physics,raw,93321,1:12434;2:7460,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_110/input_lhs00_110.liggghts,10989,3212,29.2292,0,0,0,0,10989,3212,0,0,36672,0,0.0,36672,0,0,0,0,0,0,0,93321,21141,22.6541,36672,0,45660,17929,10989,3212,0,0,93194,6613,0,93194,0,0,0,21141,102,21039
lhs00_111,physics,raw,8076,1:796;2:1570,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_111/input_lhs00_111.liggghts,991,67,6.7608,0,0,0,0,991,67,0,0,2588,0,0.0,2588,0,0,0,0,0,0,0,8076,1035,12.8158,2588,0,4497,968,991,67,0,0,7981,1100,0,7981,0,0,0,1035,7,1028
lhs00_112,physics,raw,159901,1:12434;2:26525,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_112/input_lhs00_112.liggghts,28797,3998,13.8834,0,0,0,0,28797,3998,0,0,39149,0,0.0,39149,0,0,0,0,0,0,0,159901,33636,21.0355,39149,0,91955,29638,28797,3998,0,0,159677,9939,0,159677,0,0,0,33636,190,33446
lhs00_113,physics,raw,182246,1:1555;2:42128,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_113/input_lhs00_113.liggghts,107875,10192,9.448,0,0,0,0,107875,10192,0,0,4490,0,0.0,4490,0,0,0,0,0,0,0,182246,31370,17.213,4490,0,69881,21178,107875,10192,0,0,182120,7592,0,182120,0,0,0,31370,223,31147
lhs00_114,physics,raw,122313,1:796;2:23578,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_114/input_lhs00_114.liggghts,83478,25223,30.2151,0,0,0,0,83478,25223,0,0,1871,0,0.0,1871,0,0,0,0,0,0,0,122313,49301,40.3072,1871,0,36964,24078,83478,25223,0,0,122270,2587,0,122270,0,0,0,49301,234,49067
lhs00_115,physics,raw,32518,1:30;2:7454,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_115/input_lhs00_115.liggghts,27515,4508,16.3838,0,0,0,0,27515,4508,0,0,65,0,0.0,65,0,0,0,0,0,0,0,32518,6568,20.198,65,0,4938,2060,27515,4508,0,0,32489,1855,0,32489,0,0,0,6568,50,6518
