case,contact_mode,n_contact_rows,type_hist,type_map,deck,ionic_n_edges,ionic_n_deleted,ionic_deleted_pct,ionic_AM_AM_n,ionic_AM_AM_deleted,ionic_AM_SE_n,ionic_AM_SE_deleted,ionic_SE_SE_n,ionic_SE_SE_deleted,ionic_UNKNOWN_n,ionic_UNKNOWN_deleted,electronic_n_edges,electronic_n_deleted,electronic_deleted_pct,electronic_AM_AM_n,electronic_AM_AM_deleted,electronic_AM_SE_n,electronic_AM_SE_deleted,electronic_SE_SE_n,electronic_SE_SE_deleted,electronic_UNKNOWN_n,electronic_UNKNOWN_deleted,thermal_n_edges,thermal_n_deleted,thermal_deleted_pct,thermal_AM_AM_n,thermal_AM_AM_deleted,thermal_AM_SE_n,thermal_AM_SE_deleted,thermal_SE_SE_n,thermal_SE_SE_deleted,thermal_UNKNOWN_n,thermal_UNKNOWN_deleted
lhs00_116,physics,34864,1:75;2:7460,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_116/input_lhs00_116.liggghts,26919,5245,19.4844,0,0,0,0,26919,5245,0,0,184,0,0.0,184,0,0,0,0,0,0,0,34864,9440,27.0766,184,0,7761,4195,26919,5245,0,0
lhs00_117,physics,93763,1:100;2:26451,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_117/input_lhs00_117.liggghts,74257,4817,6.4869,0,0,0,0,74257,4817,0,0,304,0,0.0,304,0,0,0,0,0,0,0,93763,8471,9.0345,304,0,19202,3654,74257,4817,0,0
lhs00_118,physics,69569,1:461;2:12788,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_118/input_lhs00_118.liggghts,49196,17466,35.5029,0,0,0,0,49196,17466,0,0,941,0,0.0,941,0,0,0,0,0,0,0,69569,31077,44.6708,941,0,19432,13611,49196,17466,0,0
lhs00_119,physics,21212,1:75;2:5264,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_119/input_lhs00_119.liggghts,15321,1837,11.9901,0,0,0,0,15321,1837,0,0,194,0,0.0,194,0,0,0,0,0,0,0,21212,3603,16.9857,194,0,5697,1766,15321,1837,0,0
lhs00_120,physics,167786,1:100;2:42091,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_120/input_lhs00_120.liggghts,140821,11085,7.8717,0,0,0,0,140821,11085,0,0,257,0,0.0,257,0,0,0,0,0,0,0,167786,18692,11.1404,257,0,26708,7607,140821,11085,0,0
lhs00_121,physics,160216,1:195;2:30314,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_121/input_lhs00_121.liggghts,135938,42562,31.3099,0,0,0,0,135938,42562,0,0,378,0,0.0,378,0,0,0,0,0,0,0,160216,59955,37.4214,378,0,23900,17393,135938,42562,0,0
lhs00_122,physics,26768,1:137;2:7858,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_122/input_lhs00_122.liggghts,17789,1011,5.6833,0,0,0,0,17789,1011,0,0,394,0,0.0,394,0,0,0,0,0,0,0,26768,2321,8.6708,394,0,8585,1310,17789,1011,0,0
lhs00_123,physics,32669,1:137;2:12507,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_123/input_lhs00_123.liggghts,21876,647,2.9576,0,0,0,0,21876,647,0,0,416,0,0.0,416,0,0,0,0,0,0,0,32669,1555,4.7599,416,0,10377,908,21876,647,0,0
lhs00_124,physics,29904,1:461;2:7859,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_124/input_lhs00_124.liggghts,14426,1146,7.944,0,0,0,0,14426,1146,0,0,1436,0,0.0,1436,0,0,0,0,0,0,0,29904,4092,13.6838,1436,0,14042,2946,14426,1146,0,0
lhs00_125,physics,396794,1:290;2:79577,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_125/input_lhs00_125.liggghts,341272,69848,20.467,0,0,0,0,341272,69848,0,0,599,0,0.0,599,0,0,0,0,0,0,0,396794,103258,26.0231,599,0,54923,33410,341272,69848,0,0
lhs00_126,physics,13751,1:795;2:3722,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_126/input_lhs00_126.liggghts,3189,130,4.0765,0,0,0,0,3189,130,0,0,2576,0,0.0,2576,0,0,0,0,0,0,0,13751,1005,7.3086,2576,0,7986,875,3189,130,0,0
lhs00_127,physics,52381,1:58;2:12479,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_127/input_lhs00_127.liggghts,42639,6421,15.059,0,0,0,0,42639,6421,0,0,154,0,0.0,154,0,0,0,0,0,0,0,52381,10050,19.1863,154,0,9588,3629,42639,6421,0,0
lhs00_128,physics,4616,1:37;2:1561,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_128/input_lhs00_128.liggghts,2983,175,5.8666,0,0,0,0,2983,175,0,0,107,0,0.0,107,0,0,0,0,0,0,0,4616,397,8.6005,107,0,1526,222,2983,175,0,0
lhs00_129,physics,393041,1:46;2:79539,1=AM;2=SE,/home/yonghoon71/lhs_local/lhs00_129/input_lhs00_129.liggghts,364851,62103,17.0215,0,0,0,0,364851,62103,0,0,100,0,0.0,100,0,0,0,0,0,0,0,393041,78153,19.8842,100,0,28090,16050,364851,62103,0,0
