time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0,2.230611589013167,2.2306115890131673,3E-16,0E-16,6.65E-16,-6E-16,2.35E-16
0.0001,2.230780484996105,2.2307804849961044,-6E-16,0E-16,-1.112E-15,3E-16,2.12E-16
0.0002,2.2309384409054527,2.230938440905453,3E-16,0E-15,1.112E-15,-6E-16,-2.12E-16
0.0005,2.2313565894866887,2.2313565894866914,2.7E-15,0E-16,-6.69E-16,2.9E-15,4.69E-16
0.001,2.2319132688961187,2.2319132688961183,-4E-16,-3E-16,4.42E-16,-9E-16,3.58E-16
0.002,2.232716843842164,2.2327168438421645,5E-16,0E-15,3.105E-15,-2.4E-15,-2.05E-16
0.005,2.2342006471451765,2.2342006471451756,-9E-16,0E-16,-2.25E-16,-9E-16,2.25E-16
0.01,2.2357935737159824,2.235793573715982,-4E-16,0E-16,1.778E-15,-1.9E-15,-2.78E-16
0.02,2.2380139079067365,2.238013907906736,-5E-16,4E-16,-1.993E-15,1.3E-15,-2.07E-16
0.03,2.239709445924013,2.239709445924013,0E-15,4E-16,-1.776E-15,1.6E-15,-2.24E-16
0.04,2.241136813615726,2.241136813615726,0E-15,-1E-16,-1.333E-15,1.5E-15,-6.7E-17
0.05,2.2423937229598643,2.2423937229598625,-1.8E-15,-6E-16,8.92E-16,-1.8E-15,-2.92E-16
0.06,2.243529914812583,2.2435299148125853,2.3E-15,0E-15,8.85E-16,1.0E-15,4.15E-16
0.07,2.2445748104753807,2.2445748104753807,0E-16,-4E-16,2.20E-16,2E-16,-2.0E-17
0.08,2.245547525185136,2.245547525185135,-1E-15,-2E-16,-1.552E-15,9E-16,-1.48E-16
0.09,2.246461309601097,2.2464613096010955,-1.5E-15,0E-16,2E-18,-1.6E-15,9.8E-17
0.1,2.247325796818113,2.247325796818115,2E-15,0E-16,0E-18,2.0E-15,0E-18
0.11,2.2481483411450585,2.2481483411450602,1.7E-15,-4E-16,-1.331E-15,3.8E-15,-3.69E-16
0.12,2.2489346822924947,2.248934682292492,-2.7E-15,-7E-16,1.553E-15,-3.5E-15,-5.3E-17
0.13,2.249689611632163,2.249689044446201,-5.67185962E-7,-5.761535561E-7,9.101566610E-9,-1.339729E-10,3.90E-16
0.14,2.2504156186183697,2.2504150412173076,-5.774010621E-7,-5.865510599E-7,9.286243330E-9,-1.362452E-10,-3.30E-16
0.15,2.251116607120731,2.2511156859984887,-9.211222423E-7,-9.357622153E-7,1.4857172824E-8,-2.171998E-10,-2.4E-17
0.16,2.25179476794895,2.2517934951521377,-0.0000012727968123,-0.0000012930767975,2.0579937753E-8,-2.999520E-10,-5.53E-16
0.17,2.252452142993647,2.2524505929574405,-0.0000015500362065,-0.0000015747960497,2.5124929245E-8,-3.650862E-10,1.55E-16
0.18,2.2530905390877405,2.253088792224554,-0.0000017468631865,-0.0000017748406541,2.8388716047E-8,-4.112488E-10,3.53E-16
0.19,2.253711532200818,2.2537096549731093,-0.0000018772277087,-0.0000019073747739,3.0588820365E-8,-4.417549E-10,-2.65E-16
0.2,2.2543164958586805,2.254314538663092,-0.0000019571955885,-0.0000019887136471,3.1978482087E-8,-4.604232E-10,-2.87E-16
0.21,2.2549066321851807,2.254904631966058,-0.0000020002191227,-0.0000020325193240,3.2770630211E-8,-4.704288E-10,-1.11E-16
0.22,2.255482999380483,2.2554809828431486,-0.0000020165373344,-0.0000020491910253,3.3127883330E-8,-4.741927E-10,2.70E-16
0.23,2.2560465345514933,2.256044520869155,-0.0000020136823383,-0.0000020463791509,3.3170306054E-8,-4.734931E-10,-3.54E-16
0.24,2.256598072325364,2.2565960751867626,-0.0000019971386014,-0.0000020296546302,3.2985646436E-8,-4.696172E-10,-4.36E-16
0.25,2.257138359995745,2.2571363890964484,-0.0000019708992966,-0.0000020030738871,3.2638090670E-8,-4.635003E-10,1.30E-16
0.26,2.257668069907268,2.2576661320239255,-0.0000019378833425,-0.0000019696022965,3.2174780172E-8,-4.558264E-10,2.28E-16
0.27,2.258187809655692,2.258185909420604,-0.000001900235088,-0.0000019314185213,3.1630530866E-8,-4.470979E-10,3.34E-16
0.28,2.2586981305552114,2.2586962710182203,-0.0000018595369911,-0.0000018901305090,3.1031199167E-8,-4.376812E-10,-6.7E-17
0.29,2.2591995347214247,2.2591977177607343,-0.0000018169606904,-0.0000018469288972,3.0396057892E-8,-4.278515E-10,4.08E-16
0.3,2.259692481039076,2.259690707664099,-0.000001773374977,-0.0000018026966895,2.9739514627E-8,-4.178023E-10,1.73E-16
0.31,2.260177390223842,2.2601756608001176,-0.0000017294237244,-0.0000017580883741,2.9072340088E-8,-4.076905E-10,1.12E-16
0.32,2.2606546491421007,2.2606529635595125,-0.0000016855825882,-0.0000017135875630,2.8402592494E-8,-3.976179E-10,2.06E-16
0.33,2.2611246145185144,2.261122972317755,-0.0000016422007594,-0.0000016695493542,2.7736261503E-8,-3.876666E-10,-1.03E-16
0.34,2.26158761613484,2.261586016602967,-0.000001599531873,-0.0000016262317490,2.7077771804E-8,-3.778959E-10,9.6E-17
0.35,2.2620439596033344,2.262042401846218,-0.0000015577571164,-0.0000015838191387,2.6430361454E-8,-3.683390E-10,-1.54E-16
0.36,2.262493928782261,2.2624924117796206,-0.0000015170026404,-0.0000015424399621,2.5796356161E-8,-3.590341E-10,-3.61E-16
0.37,2.2629377878886023,2.2629363105358915,-0.0000014773527108,-0.0000015021800966,2.5177377743E-8,-3.499923E-10,3.57E-16
0.38,2.263375783353344,2.2633743444935943,-0.0000014388597497,-0.0000014630930351,2.4574510648E-8,-3.412248E-10,-4.48E-16
0.39,2.26380814545674,2.2638067439047647,-0.0000014015519753,-0.000001425207675,2.3988444117E-8,-3.327443E-10,-1.17E-16
0.4,2.2642350897748025,2.264233724335489,-0.0000013654393135,-0.000001388534306,2.3419530095E-8,-3.245373E-10,-2.95E-16
0.41,2.264656818462993,2.2646554879450695,-0.0000013305179235,-0.0000013530692043,2.2867901126E-8,-3.166201E-10,-2.26E-16
0.42,2.265073521399079,2.265072224625401,-0.000001296773678,-0.0000013187982003,2.2333496832E-8,-3.089750E-10,4.68E-16
0.43,2.2654853772036,2.2654841130186862,-0.0000012641849138,-0.0000012856994256,2.1816113582E-8,-3.016014E-10,-3.82E-16
0.44,2.265892554153625,2.2658913214291525,-0.0000012327244725,-0.0000012537454439,2.1315466282E-8,-2.944947E-10,-1.82E-16
0.45,2.2662952110032095,2.2662940086418395,-0.0000012023613700,-0.0000012229049037,2.0831174338E-8,-2.876408E-10,1.62E-16
0.46,2.266693497721872,2.266692324659843,-0.000001173062029,-0.0000011931438113,2.0362820983E-8,-2.810383E-10,-3.83E-16
0.47,2.267087556160972,2.2670864113697173,-0.0000011447912547,-0.0000011644265225,1.9909939029E-8,-2.746714E-10,1.71E-16
0.48,2.267477520656407,2.2674764031434163,-0.0000011175129907,-0.0000011367164976,1.9472043088E-8,-2.685363E-10,1.12E-16
0.49,2.2678635185748885,2.2678624273840198,-0.0000010911908687,-0.0000011099768882,1.9048642002E-8,-2.626227E-10,1.98E-16
0.5,2.268245670810176,2.2682446050215064,-0.0000010657886696,-0.0000010841709716,1.8639227495E-8,-2.569256E-10,1.05E-16
0.51,2.268624092234726,2.26862305096411,-0.000001041270616,-0.0000010592624926,1.8243296204E-8,-2.514195E-10,-1.04E-16
0.52,2.268998892111632,2.2689978745099593,-0.0000010176016727,-0.0000010352159052,1.7860354307E-8,-2.461219E-10,9.3E-17
0.53,2.2693701744709105,2.2693691797232525,-9.947476580E-7,-0.0000010119965579,1.7489911516E-8,-2.410114E-10,-2.16E-16
0.54,2.269738038453999,2.2697370657785894,-9.726754096E-7,-9.895708167E-7,1.7131484673E-8,-2.360773E-10,-2.73E-16
0.55,2.270102578629578,2.2701016272767243,-9.513528537E-7,-9.679061549E-7,1.6784615029E-8,-2.313141E-10,2.71E-16
0.56,2.2704638852836214,2.270462954534546,-9.307490754E-7,-9.469712047E-7,1.6448847619E-8,-2.267181E-10,-2.19E-16
0.57,2.2708220446862066,2.270821133851884,-9.108343226E-7,-9.267357939E-7,1.6123749227E-8,-2.222778E-10,-1.27E-16
0.58,2.2711771393373117,2.271176247757279,-8.915800327E-7,-9.071709406E-7,1.5808898418E-8,-2.179902E-10,-3.18E-16
0.59,2.2715292481935854,2.271528375234762,-8.729588234E-7,-8.882488671E-7,1.5503888175E-8,-2.138445E-10,2.5E-17
0.6,2.271878446877892,2.271877591933413,-8.54944479E-7,-8.699429684E-7,1.5208328597E-8,-2.098394E-10,2.03E-16
0.61,2.272224807873144,2.2722239703612304,-8.375119136E-7,-8.522277992E-7,1.4921853306E-8,-2.059677E-10,-6E-18
0.62,2.272568400701911,2.272567580064749,-8.20637162E-7,-8.350790377E-7,1.4644095714E-8,-2.022201E-10,8.6E-17
0.63,2.272909292093003,2.272908487795674,-8.04297329E-7,-8.184734490E-7,1.4374717636E-8,-1.985976E-10,-3.6E-17
0.64,2.273247546136201,2.273246757665647,-7.88470554E-7,-8.023888554E-7,1.4113390903E-8,-1.950893E-10,-2.03E-16
0.65,2.273583224426134,2.273582451290152,-7.73135982E-7,-7.868040867E-7,1.3859796645E-8,-1.916921E-10,1.55E-16
0.66,2.2739163861962086,2.2739156279224915,-7.582737171E-7,-7.716989496E-7,1.3613637995E-8,-1.884054E-10,-9.5E-17
0.67,2.2742470884434627,2.2742463445786933,-7.438647694E-7,-7.570541776E-7,1.3374626740E-8,-1.852187E-10,1.60E-16
0.68,2.2745753860450204,2.2745746561539826,-7.298910378E-7,-7.428513985E-7,1.3142491094E-8,-1.821303E-10,-9.4E-17
0.69,2.2749013318668965,2.2749006155316374,-7.163352591E-7,-7.290730868E-7,1.2916962835E-8,-1.791353E-10,1.65E-16
0.7,2.2752249768656823,2.275224273684716,-7.031809663E-7,-7.157025293E-7,1.2697795479E-8,-1.762323E-10,-1.79E-16
