name,dopant,cation_site,anion_site,concentration,charge_compensation,n_fu_actual,screen_de_per_atom,screen_dV_over_V0,screen_converged,tier2_li_li_disorder_std,tier2_li_li_disorder_mean,tier2_dopant_blocking_fraction,tier2_lattice_angle_dev_deg,tier2_lattice_aspect_ratio,bvs_li_mean,bvs_li_std,bvs_li_proxy_score,migration_volume_fraction,li_mobility_score,anneal_delta_E_meV,anneal_E_post_per_atom,anneal_dV_pct,anneal_converged,eos_B0_GPa,eos_V0_per_atom,eos_Bp,eos_r2,eos_fit_quality_ok,eos_fit_quality_reason,elastic_B_hill_GPa,elastic_G_hill_GPa,elastic_E_young_GPa,elastic_pugh_GoverB,elastic_poisson_nu,sigma_300K_S_cm_NE,sigma_md_Ea_eV,sigma_md_D_300K_cm2s,sigma_md_fit_R2,sigma_md_n_T_points,wad_J_m2_mean,wad_J_m2_std,wad_n_seeds,wad_n_lbfgs_ok,wad_ncm_nx,wad_area_mismatch_pct,sigma_md_sanity_warnings_count,wad_lbfgs_ok_fraction,wad_area_mismatch_severity,rerank_de_pre_anneal,rerank_de_post_anneal,rerank_delta_E_anneal_meV,combined_score,rank_combined,rank_stability_all,axis_set,scored_on,cascade,family,n_scored_in_cascade,combined_score_is_informative,composition_Ag,composition_Al,composition_B,composition_Ba,composition_Br,composition_Ca,composition_Cl,composition_Co,composition_Cr,composition_Cu,composition_F,composition_Fe,composition_Ga,composition_Gd,composition_Ge,composition_Hf,composition_I,composition_In,composition_La,composition_Li,composition_Mg,composition_Mn,composition_Mo,composition_N,composition_Na,composition_Nb,composition_Nd,composition_Ni,composition_O,composition_P,composition_S,composition_Sb,composition_Sc,composition_Si,composition_Sm,composition_Sn,composition_Sr,composition_Ta,composition_Ti,composition_V,composition_W,composition_Y,composition_Zn,composition_Zr
Ag2O_x020_cLi24gaS16e_s00,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4394525130650675,-0.16839123893836364,True,0.1671971944393922,2.996143622606858,0.6363636363636364,1.0654463223204473,1.0253014186490306,0.9946222840614442,0.07572438332535363,0.9193051249592367,0.1216,1.2841051249592366,-801.7044395414251,-4.196411058754916,-7.970443970930654,True,26.462276514687904,18.97191390339381,3.039501281216916,0.9992674991956622,True,OK,30.07619434452657,19.61968063199342,48.34639867551058,0.6523325526909263,0.23208933882117017,,,,,,,,,,,,0,,,-0.4394525130650675,-0.5066297773077486,-801.704439541425,0.7,1,1,stability+modulus+mobility,measured_subset_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,True,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s01,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4273759351336692,-0.07482500616569157,True,0.19515667846046061,3.0510953431885426,0.45454545454545453,0.6083479871499363,1.057263546529341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s02,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4232568938182646,-0.0442613776244965,True,0.3025953593259647,3.037050060506198,0.5454545454545454,2.152595251209819,1.05345820156434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,11,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s03,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.43528281964980975,-0.10495381306731122,True,0.20243962593504675,2.9859576256409683,0.5,1.1396020079956588,1.1027503601673956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,4,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS16e_s04,Ag2O,Li_24g,S_16e,0.25,compound_set,4,-0.4323430479245167,-0.1338819499967968,True,0.16935023104604538,2.968407085004995,0.4090909090909091,0.7786138853456686,1.046210913544947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,7,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s00,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.36221996922592803,-0.12357719254843659,True,0.20981278978554227,3.0847340919044695,0.6363636363636364,1.2677856545297292,1.0375514540767603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,17,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s01,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.4114860485431886,-0.050963190867762714,True,0.33467448352916834,3.174453859948618,0.45454545454545453,1.1746136494477686,1.1429177741151189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,13,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s02,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.3503652167496498,-0.10974607673350566,True,0.25912668398163063,3.0318691401384537,0.5454545454545454,1.5957631865822846,1.1076802589961985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,20,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s03,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.41153563451268793,-0.05088863748455131,True,0.3349286471130356,3.1750243038252166,0.45454545454545453,1.171474151995566,1.1430374048185366,0.9934602191712714,0.09413124680004165,0.8999445700944368,0.147584,1.3426965700944369,-768.5831715497096,-4.130199722070123,-4.182855853718996,True,21.76846541227827,19.772230767856335,6.619148673636386,0.998735370344362,True,OK,27.678530750091383,17.110392289311296,42.56101422067169,0.6181828234959619,0.2437182473969097,,,,,,,,,,,,0,,,-0.41153563451268793,-0.44041844062295565,-768.5831715497092,0.3358207202561466,2,3,stability+modulus+mobility,measured_subset_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,True,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi24gaS4a_s04,Ag2O,Li_24g,S_4a,0.25,compound_set,4,-0.3960893587684553,-0.16305826019081535,True,0.17657861966476615,2.9554819272302635,0.22727272727272727,2.120158879623699,1.0744727956141427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,16,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi48haS16e_s00,Ag2O,Li_48h,S_16e,0.25,compound_set,4,-0.439452254637025,-0.16839124667627142,True,0.16719477791699175,2.99614295049405,0.6363636363636364,1.0654471003947747,1.0253006902815764,0.9792716669663178,0.10821578199511009,0.8732990177399028,0.148288,1.3181630177399029,-748.3339642348055,-4.143040587118281,-0.28284403204327235,True,21.275662399004883,20.705186637759855,3.2862623098934,0.9999276629513386,True,OK,23.22078798325792,17.915960345323835,42.752638628261366,0.7715483366990457,0.1931439287713103,,,,,,,,,,,,0,,,-0.439452254637025,-0.45325930567111383,-748.3339642348054,0.2907686784916225,3,2,stability+modulus+mobility,measured_subset_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,True,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi48haS16e_s01,Ag2O,Li_48h,S_16e,0.25,compound_set,4,-0.4273803703603165,-0.07482691531172507,True,0.19514663372396954,3.0511160275378684,0.45454545454545453,0.6083069238154514,1.0572804870864836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,9,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi48haS16e_s02,Ag2O,Li_48h,S_16e,0.25,compound_set,4,-0.4232528988877555,-0.04428729421175234,True,0.3025928670120317,3.037036527983881,0.5454545454545454,2.151782723090526,1.0534695097900222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
Ag2O_x020_cLi48haS16e_s03,Ag2O,Li_48h,S_16e,0.25,compound_set,4,-0.43528217383456935,-0.1049520636317949,True,0.20243521209637913,2.985963356708264,0.5,1.1396546963485505,1.102750957184985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5,stability+modulus+mobility,not_measured_on_stability+modulus+mobility,Ag2O_x002,multi_category_2026_05_26_v23,4,False,2,,,,,,4,,,,,,,,,,,,,22,,,,,,,,,1,4,19,,,,,,,,,,,,,
